# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2026-04-22 15:42:39.588
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002210,-1.9122,-0.2520,-1.2972,2.32
0.017349,-1.5586,-0.7545,-1.4998,2.29
0.018939,-0.9329,-1.3643,-1.3621,2.14
0.032722,-0.8365,-1.7039,-0.7992,2.06
0.045814,-0.9737,-1.6262,-0.2092,1.91
0.048968,-1.1323,-1.1108,0.2650,1.61
0.067417,-1.1431,-0.6288,0.8234,1.54
0.068937,-0.9541,-0.4028,1.2742,1.64
0.079427,-0.6983,-0.6004,1.3824,1.66
0.096502,-0.3287,-1.0727,1.4142,1.81
0.099435,0.0273,-1.6165,1.2369,2.04
0.113996,0.2014,-1.9791,0.9461,2.20
0.119896,0.1904,-2.0652,0.7470,2.20
0.130605,0.0585,-1.9279,0.7439,2.07
0.147476,-0.2437,-1.5925,0.6546,1.74
0.149811,-0.4794,-1.3412,0.5413,1.52
0.162673,-0.7134,-1.1301,0.4133,1.40
0.169330,-0.7877,-0.9615,0.1885,1.26
0.179638,-0.6906,-0.8663,-0.1051,1.11
0.195649,-0.6049,-0.8373,-0.4108,1.11
0.198663,-0.4857,-0.7858,-0.6293,1.12
0.212665,-0.3687,-0.6660,-0.7047,1.04
0.218787,-0.3241,-0.4609,-0.5428,0.78
0.230205,-0.3085,-0.1977,-0.4745,0.60
0.247146,-0.3246,-0.0870,-0.4852,0.59
0.249234,-0.2699,-0.1429,-0.4072,0.51
0.262987,-0.2662,-0.3388,-0.5089,0.67
0.268502,-0.3498,-0.6320,-0.6098,0.95
0.279902,-0.5836,-0.8709,-0.7157,1.27
0.296889,-0.8563,-0.8295,-0.7792,1.42
0.298614,-1.3541,-0.7246,-0.7279,1.70
0.310766,-1.4375,-0.2399,-0.7613,1.64
0.318281,-1.4941,-0.0657,-0.7826,1.69
0.329812,-1.5589,-0.3943,-0.0220,1.61
0.345815,-1.3300,-0.7695,0.6170,1.66
0.349444,-1.2318,-0.9098,0.7736,1.72
0.363636,-0.3539,-1.0620,0.9143,1.45
0.369920,0.3143,-1.2261,1.0082,1.62
0.379580,1.5669,-0.7159,0.9676,1.98
0.396772,2.7509,-0.1364,1.3636,3.07
0.412747,2.9210,0.7435,1.9675,3.60
0.412940,2.2066,1.2794,2.6215,3.66
0.428750,1.8929,1.0717,2.6203,3.41
0.430153,1.9862,0.2457,2.2210,2.99
0.440689,1.8093,-0.6225,1.4775,2.42
0.449462,1.7880,-1.2414,0.5992,2.26
0.468320,1.8787,-1.5572,-0.1538,2.44
0.468613,1.7645,-1.6018,-0.8809,2.54
0.485881,0.8865,-1.0777,-2.3073,2.70
0.491908,-0.9726,0.4823,-4.6889,4.81
0.498814,-2.5422,0.5969,-4.8678,5.52
0.509040,-2.8202,-0.0234,-2.7435,3.93
0.518598,-2.2906,-0.4147,-0.2936,2.35
0.529322,-1.6153,-0.5496,1.7849,2.47
0.543097,-0.5914,-0.4724,3.1800,3.27
0.549094,0.4702,-0.7412,1.1528,1.45
0.559517,1.5038,-1.6243,-1.1095,2.48
0.569792,0.3101,-1.5484,-1.6903,2.31
0.579252,-0.2509,-0.5732,-1.4887,1.61
0.594016,-0.0444,0.1389,-1.2792,1.29
0.598656,0.0553,0.7708,-0.3571,0.85
0.610667,0.1584,0.5631,-0.0747,0.59
0.619342,-0.7948,0.5798,0.1685,1.00
0.629464,-1.9056,0.9150,0.0913,2.12
0.646441,-2.6343,0.8819,-1.0702,2.98
0.650307,-2.9122,0.2987,-2.4721,3.83
0.661756,-2.3596,-0.3003,-1.9852,3.10
0.670072,-1.7751,-0.7277,0.1216,1.92
0.679726,-0.6363,-0.5249,1.3429,1.58
0.694732,0.2584,-0.1716,2.2752,2.30
0.698799,0.7526,-0.0959,2.8176,2.92
0.710944,0.8643,-0.2321,2.5330,2.69
0.719518,0.5664,-0.3854,1.8010,1.93
0.729151,-0.0434,-0.4125,0.9253,1.01
0.744974,-0.6689,-0.2721,0.0555,0.72
0.749465,-1.1606,-0.3501,-0.8216,1.46
0.762222,-1.1779,-0.4485,-1.0844,1.66
0.770714,-0.8868,-0.4013,-1.2852,1.61
0.780482,-0.6520,-0.2519,-0.8918,1.13
0.796412,-0.2524,-0.1753,-0.2536,0.40
0.798978,0.2637,-0.1033,0.3577,0.46
0.812373,0.8495,-0.1575,0.8490,1.21
0.819017,1.1982,-0.3476,1.0071,1.60
0.829282,1.1500,-0.4884,0.6277,1.40
0.845354,0.6905,-0.4825,0.0502,0.84
0.849447,0.0299,-0.2767,-0.3111,0.42
0.861907,-0.5982,-0.0094,-0.5529,0.81
0.869017,-1.0038,0.0471,-0.6557,1.20
0.879490,-1.0764,-0.1477,-0.7621,1.33
0.895709,-0.9213,-0.4225,-0.8097,1.30
0.898992,-0.5877,-0.5133,-0.8135,1.13
0.911756,-0.1558,-0.4426,-0.6360,0.79
0.919415,0.2134,-0.3462,-0.4128,0.58
0.929845,0.4646,-0.3949,-0.3554,0.71
0.946097,0.6407,-0.5183,-0.2635,0.87
0.949162,0.7255,-0.5716,0.0494,0.92
0.962352,0.7981,-0.4490,0.4032,1.00
0.969224,0.5723,-0.3144,0.6903,0.95
0.980141,0.2892,-0.1675,0.6932,0.77
0.994865,0.0649,-0.1589,0.4231,0.46
0.998916,-0.1855,-0.1763,-0.1344,0.29
1.011793,-0.4470,-0.1445,-0.6895,0.83
1.019821,-0.6842,-0.0450,-1.0248,1.23
1.029130,-0.7819,-0.0165,-1.1421,1.38
1.046509,-0.7255,-0.1209,-1.0849,1.31
1.049522,-0.4321,-0.1743,-0.8245,0.95
1.062218,-0.0903,-0.2101,-0.5565,0.60
1.068693,0.1022,-0.3008,-0.2936,0.43
1.079350,0.0603,-0.3946,-0.2253,0.46
1.095067,-0.0606,-0.4721,-0.4406,0.65
1.098534,-0.2571,-0.5142,-0.8814,1.05
1.111191,-0.5905,-0.4779,-1.4671,1.65
1.119046,-0.8742,-0.3171,-1.9177,2.13
1.129649,-1.0707,-0.1254,-2.1015,2.36
1.146487,-1.0009,-0.0490,-2.1145,2.34
1.149325,-0.6588,-0.1606,-2.1866,2.29
1.162822,-0.2390,-0.4068,-2.5140,2.56
1.169277,-0.0619,-0.4019,-2.4486,2.48
1.180348,-0.0105,-0.2073,-1.8968,1.91
1.195043,0.1103,-0.1290,-1.1592,1.17
1.198753,0.1639,-0.2280,-0.6398,0.70
1.211385,0.1935,-0.2864,-0.2547,0.43
1.218612,0.1651,-0.1921,-0.0266,0.25
1.229117,0.0434,-0.0652,0.1979,0.21
1.245467,0.0678,0.0182,0.4855,0.49
1.249434,0.2006,0.0286,0.6738,0.70
1.262139,0.1476,0.0034,0.8440,0.86
1.269077,0.0631,0.0289,1.1061,1.11
1.279378,-0.0725,-0.0050,1.3170,1.32
1.296033,-0.3552,-0.0028,1.6771,1.71
1.298501,-0.4800,0.0069,2.0713,2.13
1.311148,-0.4612,0.0355,2.3325,2.38
1.318370,-0.4418,0.0470,2.4223,2.46
1.329242,-0.5346,0.0981,2.5033,2.56
1.344724,-0.5585,0.2012,2.4750,2.55
1.349629,-0.5477,0.3358,2.2373,2.33
1.361566,-0.5830,0.4186,2.0054,2.13
1.369994,-0.5715,0.4822,1.8986,2.04
1.379533,-0.5345,0.4594,1.7590,1.89
1.394338,-0.4981,0.3823,1.5005,1.63
1.398770,-0.5232,0.4090,1.2190,1.39
1.411382,-0.4381,0.4878,0.9861,1.18
1.418825,-0.2284,0.5244,0.7108,0.91
1.429949,-0.1457,0.4925,0.3932,0.65
1.448136,-0.1389,0.4619,0.2148,0.53
1.450568,-0.2567,0.3659,0.1323,0.47
